city,time_period,total_points,outliers_iqr_count,outliers_iqr_pct,outliers_zscore_count,outliers_zscore_pct,mean_temp,std_temp,min_temp,max_temp
"East Multnomah County, OR",am,12007,92,0.766219705171983,0,0.0,69.0765478470892,1.6517389805051879,64.63,72.99
"East Multnomah County, OR",pm,9479,426,4.494144951999155,0,0.0,90.42868657031333,1.5070498798698395,86.12,94.54
"El Paso, TX",af,20793,225,1.0820949357957004,99,0.47612177175010817,104.34638291732794,1.3277298896596947,99.5,109.03999999999999
"El Paso, TX",am,25946,2945,11.350497186464196,268,1.0329145147614276,82.76007631234103,2.106470467683466,73.03999999999999,88.7
"El Paso, TX",pm,19680,524,2.66260162601626,288,1.4634146341463417,103.42276524390245,1.6685957583086657,91.22,108.68
"Farmville, VA",af,18040,70,0.3880266075388027,25,0.1385809312638581,87.74949944567628,2.3095804801860567,82.64,94.77
"Farmville, VA",am,16337,51,0.31217481789802287,26,0.1591479463793842,72.14179225071922,0.9688387055991489,69.11,74.99
"Farmville, VA",pm,18593,1,0.005378368203087183,9,0.04840531382778465,87.95111870058624,1.9908597211918764,81.76,93.87
"Fort Lauderdale, FL",af,17546,1687,9.614727003305596,42,0.23937079676279494,87.49842357232417,1.6253340562037388,83.12,94.46000000000001
"Fort Lauderdale, FL",am,20781,515,2.4782253019585196,0,0.0,78.28697271546123,1.251839173486718,75.38,81.68
"Fort Lauderdale, FL",pm,16116,1632,10.126582278481013,6,0.03723008190618019,83.26160089352196,0.8537873915454435,80.42,85.28
"Harrisonburg, VA",pm,10671,6,0.056227157717177394,0,0.0,83.32936744447568,1.403371178093632,79.31,87.21
"Honolulu, HI",af,24563,3,0.01221349183731629,0,0.0,87.42482351504295,2.5579724230308725,80.96000000000001,94.82
"Honolulu, HI",am,26258,1587,6.043872343666692,49,0.1866097951100617,78.49582755731586,2.3530677673752716,70.16,82.75999999999999
"Honolulu, HI",pm,26635,874,3.281396658532007,384,1.4417120330392341,81.55536850009386,1.7293022631058714,75.38,85.1
"Houston and Harris County, TX",af,75713,1423,1.879465877722452,668,0.8822791330418819,94.33410722068865,1.480316729865646,86.18,103.28
"Houston and Harris County, TX",am,80060,378,0.4721458905820634,59,0.07369472895328504,78.81230052460654,1.4497210939279286,72.32,83.48
"Houston and Harris County, TX",pm,76956,1035,1.3449243723686262,775,1.0070689744789232,89.00174723218463,1.441132081065491,81.86,94.1
"Iowa City and Cedar Rapids, IA",af,27895,957,3.4307223516759278,290,1.0396128338411903,84.45215630041227,1.2849562892563793,77.8,90.0
"Iowa City and Cedar Rapids, IA",am,27899,246,0.8817520341230869,29,0.10394637800638015,60.78420015054303,2.508441716703929,52.8,67.2
"Iowa City and Cedar Rapids, IA",pm,27884,799,2.8654425476976044,313,1.1225075312006885,81.4040381580835,1.255269845492253,76.4,84.5
"Jackson, MS",af,23097,758,3.2818114906697837,319,1.3811317487119539,88.97609040135082,1.3853301665045004,84.2,95.72
"Jackson, MS",am,23658,472,1.9950967960098063,239,1.0102290979795419,69.04199594217602,1.2046278683796778,66.38,73.4
"Jackson, MS",pm,26554,29,0.10921141824207276,0,0.0,83.34730134819613,2.4053031309721793,76.64,90.32
"Jacksonville, FL",af,41878,362,0.8644156836525144,120,0.2865466354649219,94.70253354983524,1.21099422993597,91.0,99.1
"Jacksonville, FL",am,52381,992,1.8938164601668546,138,0.26345430595063096,80.42275825203797,1.6165908304140715,74.0,84.5
"Jacksonville, FL",pm,42604,1172,2.750915407004037,348,0.8168247112947141,93.70274387381467,1.453868518527747,86.2,98.0
"Jersey City, Newark, and Elizabeth, NJ",am,19211,104,0.5413565144969028,0,0.0,67.35252771849461,1.6929777628122,63.04,71.83
"Jersey City, Newark, and Elizabeth, NJ",pm,19318,111,0.5745936432342893,0,0.0,78.75264364841081,0.8979133501347009,76.32,81.17
