city,time_period,filename,filepath,point_count,valid_point_count,temp_field,mean_temp,median_temp,std_temp,min_temp,max_temp,range_temp,percentile_25,percentile_75,iqr
"Charlottesville, VA",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/af_trav.shp",10250,10250,temp_f,93.34940390243902,93.49,1.1279672395278977,90.14,96.4,6.260000000000005,92.68,94.13,1.4499999999999886
"Charlottesville, VA",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/am_trav.shp",12298,12298,temp_f,71.66068872987478,71.59,1.2073688097308313,68.44,74.98,6.540000000000006,70.86,72.48,1.6200000000000045
"Charlottesville, VA",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Charlottesville, VA/traverses_chw_charlottesville_120621/pm_trav.shp",11853,11853,temp_f,87.13838774993673,87.52,2.049242521476738,81.31,91.31,10.0,85.83,88.69,2.8599999999999994
"Chicago, IL",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/af_trav.shp",48855,48855,temp_f,91.83454712926007,92.2,2.4876789880580086,77.1,99.1,22.0,91.0,93.3,2.299999999999997
"Chicago, IL",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/am_trav.shp",39744,39744,temp_f,76.11173762077294,76.1,1.0704832272260403,72.7,81.1,8.399999999999991,75.4,76.8,1.3999999999999915
"Chicago, IL",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Chicago, IL/traverses_chw_chicago_101623/pm_trav.shp",50834,50834,temp_f,84.20427469803674,83.9,2.8688415469968227,76.4,92.1,15.699999999999989,82.1,86.3,4.200000000000003
"Cincinnati, OH",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/af_trav.shp",23480,23480,temp_f,83.53300340715502,83.48,1.3390307747252501,78.80000000000001,88.34,9.539999999999992,82.58000000000001,84.38,1.799999999999983
"Cincinnati, OH",am,am_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/am_trav.shp",25274,25274,temp_f,70.4224222521168,70.34,1.4623460706334057,66.02,74.66,8.64,69.44,71.24000000000001,1.8000000000000114
"Cincinnati, OH",pm,pm_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Cincinnati, OH/traverses_chw_cincinnati_101420/pm_trav.shp",26413,26413,temp_f,83.51780184000303,83.48,1.6259796027404585,77.18,89.06,11.879999999999995,82.58000000000001,84.56,1.9799999999999898
"Clark County, NV",af,af_trav.shp,"/groups/LORTIZUR/heat-watch-data/clean/Heat Watch Clark County, NV/traverses_chw_clark_county_102422/af_trav.shp",37355,37355,temp_f,90.20414670057555,90.0,1.9492474080523947,85.3,96.4,11.100000000000009,88.8,91.5,2.700000000000003
